,Tamb,Qirr,PelecA,PelecB
2022-01-01 00:00:00,24.7,0.0,83.88622259476541,185.9256562884579
2022-01-01 00:15:00,24.625,0.0,64.59757532449203,222.78328000162116
2022-01-01 00:30:00,24.549999999999997,0.0,53.610302141519,187.5419305229676
2022-01-01 00:45:00,24.474999999999998,0.0,53.56618712588557,173.75071135703018
2022-01-01 01:00:00,24.4,0.0,64.80641992160321,34.62746948531546
2022-01-01 01:15:00,24.349999999999998,0.0,80.00702698078696,74.93202592803888
2022-01-01 01:30:00,24.299999999999997,0.0,54.07107963738677,35.45532343192967
2022-01-01 01:45:00,24.25,0.0,53.58249502342762,33.98033514110455
2022-01-01 02:00:00,24.2,0.0,63.78609174595184,33.16127858730441
2022-01-01 02:15:00,24.175,0.0,75.18866747968859,54.01910851370974
2022-01-01 02:30:00,24.15,0.0,54.38546858222322,49.7851267284314
2022-01-01 02:45:00,24.125,0.0,53.5148867035603,33.31418936525023
2022-01-01 03:00:00,24.1,0.0,69.6406882508307,33.60938280549321
2022-01-01 03:15:00,24.1,0.0,75.89800075399872,44.116794810578966
2022-01-01 03:30:00,24.1,0.0,54.032495629335756,64.75957914985568
2022-01-01 03:45:00,24.1,0.0,54.17373941989144,33.5608276442247
2022-01-01 04:00:00,24.1,0.0,69.35966419297927,33.83112001491587
2022-01-01 04:15:00,24.075000000000003,0.0,175.63481503633886,39.06721789568824
2022-01-01 04:30:00,24.05,0.0,72.54012136563449,65.65788727860327
2022-01-01 04:45:00,24.025,0.0,77.1175165413799,33.649919106964845
2022-01-01 05:00:00,24.0,0.0,152.58701624761807,33.25677515951112
2022-01-01 05:15:00,24.05,0.0,124.28222848104564,43.85998402368805
2022-01-01 05:30:00,24.1,0.0,121.23938635616653,60.20649508594279
2022-01-01 05:45:00,24.15,0.0,111.62126555052538,33.418829646523534
2022-01-01 06:00:00,24.2,0.0,236.54733687299117,59.83108664491042
2022-01-01 06:15:00,24.225,4.5,229.2006685650949,1170.9673394056515
2022-01-01 06:30:00,24.25,9.0,535.6863672175332,846.3485765960407
2022-01-01 06:45:00,24.275,13.5,2220.4296075342486,450.5756302664992
2022-01-01 07:00:00,24.3,18.0,1886.47484333181,1277.8622188868287
2022-01-01 07:15:00,24.6,51.5,1084.286054135865,1090.7861239721217
2022-01-01 07:30:00,24.9,85.0,211.97973310105363,472.1974250754716
2022-01-01 07:45:00,25.2,118.5,2551.3099979477165,176.44429255958403
2022-01-01 08:00:00,25.5,152.0,685.0980805149763,174.4475132937986
2022-01-01 08:15:00,25.825,193.5,1412.9099715833424,208.35538944720412
2022-01-01 08:30:00,26.15,235.0,440.05780648249277,183.5486181240041
2022-01-01 08:45:00,26.475,276.5,3330.6304741939794,193.36201353321871
2022-01-01 09:00:00,26.8,318.0,6116.956387133951,213.9053879258267
2022-01-01 09:15:00,27.1,354.5,8167.557065362386,242.52160918785825
2022-01-01 09:30:00,27.4,391.0,5042.409103076437,196.1093598843597
2022-01-01 09:45:00,27.7,427.5,5824.634200732164,188.915228034819
2022-01-01 10:00:00,28.0,464.0,3117.1865699572077,188.48262407143895
2022-01-01 10:15:00,27.7,490.75,3324.329453325593,291.2121740965888
2022-01-01 10:30:00,27.4,517.5,4779.999140386581,1586.5174139248027
2022-01-01 10:45:00,27.1,544.25,2593.781762385852,1178.0136325711576
2022-01-01 11:00:00,26.8,571.0,583.7965006793877,429.93955517403293
2022-01-01 11:15:00,26.475,585.75,676.3176263196377,392.6849781146018
2022-01-01 11:30:00,26.15,600.5,643.7832863488029,1841.4832333122417
2022-01-01 11:45:00,25.825,615.25,2331.920993873465,1908.2011740911169
2022-01-01 12:00:00,25.5,630.0,3646.404035466053,370.41045926132944
2022-01-01 12:15:00,25.2,631.75,1821.2114889813213,314.99350830273823
2022-01-01 12:30:00,24.9,633.5,673.5876321935849,329.1038465298492
2022-01-01 12:45:00,24.6,635.25,736.7088679100845,186.6787821312852
2022-01-01 13:00:00,24.3,637.0,712.3055201363691,192.11407491765925
2022-01-01 13:15:00,24.575,625.0,713.6113062833218,1453.6169763849455
2022-01-01 13:30:00,24.85,613.0,632.1475533480271,1220.3093171689088
2022-01-01 13:45:00,25.125,601.0,426.5096264725883,446.63852589342076
2022-01-01 14:00:00,25.4,589.0,484.115474990925,461.0940639001737
2022-01-01 14:15:00,25.674999999999997,565.0,328.0639021998126,500.08670464029905
2022-01-01 14:30:00,25.95,541.0,280.4025113805913,431.3235994758675
2022-01-01 14:45:00,26.225,517.0,291.34728311302877,342.32450783367506
2022-01-01 15:00:00,26.5,493.0,239.83951776361255,343.77664764599075
